         1941071 function calls (1817527 primitive calls) in 143.913 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      153    0.001    0.000    0.012    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\ops.py:3868(_get_op_def)
  378/293    0.001    0.000    0.009    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\encoder.py:766(EncodeField)
      336    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\threading.py:341(notify)
     1464    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\util\object_identity.py:211(__iter__)
    232/1    0.001    0.000    0.011    0.011 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\module.py:406(apply)
       29    0.001    0.000    0.012    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:165(__init__)
     1597    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\context.py:791(executing_eagerly)
      266    0.001    0.000    0.003    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\ast.py:372(visit_Constant)
      758    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.001    0.001    0.001    0.001 {built-in method nt.replace}
      800    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\ops.py:5075(_control_dependencies_stack)
       36    0.001    0.000    0.812    0.023 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\function.py:3147(_maybe_define_function)
      544    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\sre_parse.py:249(match)
      926    0.001    0.000    0.002    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\c_api_util.py:157(tf_buffer)
  258/202    0.001    0.000    0.003    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\encoder.py:299(RepeatedFieldSize)
      603    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\pathlib.py:694(_format_parsed_parts)
      123    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\autograph\pyct\ast_util.py:284(parallel_walk)
     1521    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\containers.py:211(__len__)
        1    0.001    0.001    0.001    0.001 {built-in method nt.mkdir}
      771    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\autograph\pyct\anno.py:114(getanno)
      898    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\pathlib.py:101(join_parsed_parts)
      757    0.001    0.000    0.002    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\decoder.py:252(DecodeField)
       35    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      397    0.001    0.000    0.007    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\util\tf_stack.py:131(extract_stack)
      229    0.001    0.000    0.002    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\op_def_library.py:173(_MakeType)
     1443    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\yaml\scanner.py:279(stale_possible_simple_keys)
       51    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\module.py:828(__delattr__)
        1    0.001    0.001    0.001    0.001 {VideoWriter_fourcc}
      519    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\traceable_stack.py:119(peek_objs)
    141/1    0.001    0.000    0.002    0.002 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\thop\profile.py:190(dfs_count)
      299    0.001    0.000    0.091    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\numpy\core\_asarray.py:141(ascontiguousarray)
      928    0.001    0.000    0.004    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\copy.py:262(<genexpr>)
      672    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\registry.py:82(lookup)
      608    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\context.py:773(_mode)
      619    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\util\nest.py:203(_yield_sorted_items)
        1    0.001    0.001    1.175    1.175 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\experimental.py:113(attempt_load)
      419    0.001    0.000    0.003    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\training\tracking\base.py:453(_method_wrapper)
      243    0.001    0.000    0.005    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\ops.py:6458(__enter__)
        7    0.001    0.000    0.001    0.000 {built-in method builtins.print}
       95    0.001    0.000    0.004    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\tensor.py:372(__reversed__)
        9    0.001    0.000    0.103    0.011 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\PIL\Image.py:2508(new)
      273    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\util\tf_decorator.py:236(__init__)
      490    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\sre_parse.py:172(append)
     1188    0.001    0.000    0.002    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\autograph\pyct\anno.py:143(copyanno)
  190/132    0.001    0.000    0.004    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\encoder.py:759(EncodeRepeatedField)
      186    0.001    0.000    0.008    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\ops\numpy_ops\np_utils.py:172(_np_signature)
       29    0.001    0.000    0.002    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\autograph\impl\conversion.py:129(is_whitelisted)
      340    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      322    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\sre_parse.py:111(__init__)
      137    0.001    0.000    0.002    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\ops.py:444(_c_api_shape)
      668    0.001    0.000    0.015    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\module.py:1068(parameters)
      668    0.001    0.000    0.014    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\module.py:1092(named_parameters)
      159    0.001    0.000    0.002    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\tensor_spec.py:39(__init__)
       58    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\function.py:2388(__init__)
       81    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\PIL\Image.py:781(load)
      510    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\sre_parse.py:160(__len__)
       15    0.001    0.000    0.001    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_DeleteGraph}
      102    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\module.py:294(register_parameter)
      433    0.001    0.000    0.005    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\parameter.py:23(__new__)
      276    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\encoder.py:134(PackedFieldSize)
  915/777    0.001    0.000    0.017    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\containers.py:417(MergeFrom)
      117    0.001    0.000    0.002    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\yaml\parser.py:273(parse_node)
       54    0.001    0.000    0.001    0.000 {built-in method tensorflow.python._pywrap_utils.AssertSameStructureForData}
      370    0.001    0.000    0.041    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\module.py:490(<lambda>)
      405    0.001    0.000    0.001    0.000 {built-in method tensorflow.python._pywrap_utils.IsSequenceOrComposite}
     1101    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\ops.py:4079(_name_stack)
      468    0.001    0.000    0.001    0.000 {method 'numel' of 'torch._C._TensorBase' objects}
       51    0.001    0.000    0.081    0.002 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\init.py:352(kaiming_uniform_)
      378    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\training\tracking\base.py:577(_maybe_initialize_trackable)
      181    0.001    0.000    0.006    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:1193(as_proto)
      178    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils_obj\obj_tracker.py:67(update_old)
      130    0.001    0.000    0.008    0.000 {built-in method builtins.sum}
      496    0.001    0.000    0.004    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\python_message.py:727(setter)
      138    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\encoder.py:446(EncodePackedField)
      336    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\ops.py:1995(_control_flow_post_processing)
      262    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\ops.py:6385(name_scope)
     1836    0.001    0.000    0.001    0.000 {built-in method torch._C._is_torch_function_enabled}
      599    0.001    0.000    0.001    0.000 {built-in method time.monotonic}
      901    0.001    0.000    0.001    0.000 {built-in method _operator.index}
      336    0.001    0.000    0.003    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\tpu\tpu.py:223(tpu_replicated_input_resolver)
        2    0.001    0.000    0.001    0.001 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\logging\__init__.py:284(__init__)
       51    0.001    0.000    0.006    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\module.py:529(to)
      180    0.001    0.000    0.009    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\yaml\scanner.py:156(fetch_more_tokens)
      514    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\containers.py:287(MergeFrom)
     22/1    0.001    0.000    0.111    0.111 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\keras\engine\base_layer.py:875(__call__)
        9    0.001    0.000    0.001    0.000 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
 1211/626    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\json\encoder.py:333(_iterencode_dict)
        6    0.001    0.000    0.001    0.000 {built-in method builtins.vars}
      102    0.001    0.000    0.001    0.000 {method 'requires_grad_' of 'torch._C._TensorBase' objects}
      682    0.001    0.000    0.002    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\encoder.py:464(EncodeField)
        1    0.001    0.001    0.007    0.007 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\logging\__init__.py:1893(basicConfig)
      140    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\conv.py:109(__setstate__)
      364    0.001    0.000    0.024    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:595(capture)
      212    0.001    0.000    0.002    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\contextlib.py:211(contextmanager)
     1159    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\encoder.py:148(FieldSize)
      255    0.001    0.000    0.013    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\utils.py:8(parse)
       95    0.001    0.000    0.006    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\functional.py:760(_return_output)
        1    0.001    0.001    0.005    0.005 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils_obj\obj_tracker.py:109(print_results)
      376    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\serialization.py:173(default_restore_location)
      299    0.001    0.000    0.001    0.000 {method 'ndimension' of 'torch._C._TensorBase' objects}
      336    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\util\lock_util.py:74(group)
    30/28    0.001    0.000    0.492    0.018 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\autograph\impl\api.py:417(converted_call)
      117    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\data\util\options.py:89(merge_options)
      501    0.001    0.000    0.001    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_DeleteBuffer}
      672    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\auto_control_deps.py:125(op_is_stateful)
      336    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\ops.py:5059(_snapshot_colocation_stack_metadata)
       27    0.001    0.000    0.003    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\data\util\structure.py:70(normalize_element)
       27    0.001    0.000    0.472    0.017 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\function.py:2870(_get_concrete_function_garbage_collected)
     2963    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\context.py:1826(context_safe)
      422    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\ops.py:5387(get_controller)
      625    0.001    0.000    0.001    0.000 {built-in method tensorflow.python._pywrap_utils.IsSequence}
        6    0.001    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\_bootlocale.py:11(getpreferredencoding)
      142    0.001    0.000    0.003    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\decoder.py:216(DecodePackedField)
      828    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
      304    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\context.py:219(push)
      336    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\op_callbacks.py:118(should_invoke_op_callbacks)
      126    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\training\tracking\base.py:854(_handle_deferred_dependencies)
       28    0.000    0.000    0.807    0.029 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\function.py:3047(_create_graph_function)
      285    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\inspect.py:493(unwrap)
       89    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\numpy\core\_asarray.py:16(asarray)
       28    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\function.py:1562(_initialize_function_spec)
       28    0.000    0.000    0.166    0.006 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\function.py:1460(__init__)
      693    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\data\util\options.py:74(get_fn)
     1018    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
     1330    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      192    0.000    0.000    0.000    0.000 {method '__format__' of 'float' objects}
      733    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\ops.py:5094(_distribution_strategy_stack)
       29    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.SetRequireShapeInferenceFns}
       72    0.000    0.000    0.002    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\ops\numpy_ops\np_utils.py:216(<listcomp>)
       28    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\tensor_util.py:135(<listcomp>)
      846    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\PIL\_binary.py:70(i32be)
      734    0.000    0.000    0.000    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\containers.py:556(__init__)
        9    0.000    0.000    0.000    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\weakref.py:382(__getitem__)
     2036    0.000    0.000    0.000    0.000 {method 'pack' of 'Struct' objects}
      302    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      193    0.000    0.000    0.000    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils_obj\obj_creation.py:3(__init__)
      557    0.000    0.000    0.002    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\ops.py:1924(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      336    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\util\lock_util.py:106(_another_group_active)
      137    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_GraphGetTensorShapeHelper}
     1284    0.000    0.000    0.000    0.000 {built-in method torch._C.is_grad_enabled}
      336    0.000    0.000    0.002    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\threading.py:364(notify_all)
      167    0.000    0.000    0.101    0.001 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\python_message.py:1135(MergeFromString)
     1008    0.000    0.000    0.002    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\util\object_identity.py:196(<listcomp>)
      627    0.000    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      392    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_UID}
     1897    0.000    0.000    0.000    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\encoder.py:96(_SignedVarintSize)
  235/231    0.000    0.000    0.002    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\util\nest.py:461(_packed_nest_with_indices)
       11    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      846    0.000    0.000    0.000    0.000 {built-in method _struct.unpack_from}
        9    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.new}
     1331    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      336    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationNumOutputs}
      410    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\six.py:588(iteritems)
       74    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\autograph\pyct\static_analysis\activity.py:267(_track_symbol)
      336    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\ops.py:4603(_control_dependencies_for_inputs)
      336    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\ops.py:5153(_mutation_lock)
      306    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\errors_impl.py:264(__init__)
       31    0.000    0.000    0.004    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\ops\custom_gradient.py:45(copy_handle_data)
        9    0.000    0.000   27.971    3.108 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\PIL\PngImagePlugin.py:751(_save)
      288    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:866(__getitem__)
       52    0.000    0.000    0.000    0.000 {built-in method torch._C._log_api_usage_once}
        9    0.000    0.000    3.621    0.402 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\keras\engine\training.py:126(_method_wrapper)
       36    0.000    0.000    0.002    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\eager\function.py:2977(_cache_key)
      702    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\ops.py:5044(_colocation_stack)
      336    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:4572(_resource_resolver)
        9    0.000    0.000   28.003    3.111 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\PIL\Image.py:2025(save)
      320    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\type_spec.py:262(_flat_tensor_specs)
        1    0.000    0.000    0.060    0.060 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\cuda\__init__.py:46(is_available)
       97    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\ast.py:138(copy_location)
      151    0.000    0.000    0.002    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\containers.py:268(extend)
        1    0.000    0.000    0.125    0.125 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\subprocess.py:448(run)
       51    0.000    0.000    0.109    0.002 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\conv.py:394(__init__)
      212    0.000    0.000    0.004    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\util\tf_contextlib.py:25(contextmanager)
  765/594    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\json\encoder.py:277(_iterencode_list)
        1    0.000    0.000    0.013    0.013 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils_obj\im_sim.py:55(get_feat_vec_data)
       72    0.000    0.000    0.000    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\PIL\Image.py:501(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method meshgrid}
     20/8    0.000    0.000    0.062    0.008 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      306    0.000    0.000    0.000    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\errors_impl.py:64(__init__)
     1512    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
      335    0.000    0.000    0.004    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\ops.py:386(_create_with_tf_output)
      305    0.000    0.000    0.001    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\ops\control_flow_util.py:266(CheckInputFromValidContext)
       32    0.000    0.000    0.000    0.000 {method 'stride' of 'torch._C._TensorBase' objects}
